Date	Close	Open	High	Low	Volume	Adj Close
6/17/2015	26.98	26.98	26.98	26.98	10	25.78
6/18/2015	26.18	26.5	26.5	26.18	110	24.98
6/19/2015	26.94	26.5	26.95	26.5	400	25.74
6/22/2015	26.14	26.14	26.14	26.14	1200	24.94
6/23/2015	26.24	26.26	26.26	26.24	290	25.04
6/24/2015	26.24	26.24	26.24	26.24	30	25.04
6/25/2015	21.92	21.42	21.92	21.42	650	20.72
6/26/2015	22.32	21.28	22.58	21.28	60	21.12
6/29/2015	22.89	21.66	22.89	21.66	410	21.69
6/30/2015	22.21	23.29	23.33	22.21	300	21.01
7/1/2015	22.21	22.21	22.21	22.21	1820	21.01
7/2/2015	21.76	21.76	21.76	21.76	30	20.56
7/3/2015	21.76	21.77	21.77	21.76	820	20.56
7/6/2015	22.41	22.4	22.41	22.4	50	21.21
7/8/2015	22.84	22.84	22.84	22.84	10	21.64
7/10/2015	22.52	22.52	22.52	22.52	0	21.32
7/13/2015	22.52	22.51	22.52	22.51	2230	21.32
7/20/2015	22.4	22.4	22.4	22.4	10	21.2
7/28/2015	22.1	22.1	22.1	22.1	560	20.9
7/29/2015	21.66	22.1	22.1	21.66	80	20.46
7/30/2015	22.02	21.66	22.02	21.66	1190	20.82
7/31/2015	22.1	22.1	22.1	22.1	110	20.9
8/17/2015	22.1	22.1	22.1	22.1	590	20.9
8/20/2015	22.07	21.44	22.07	21.44	150	20.87
8/21/2015	22.07	22.07	22.07	22.07	170	20.87
8/24/2015	22.73	22.18	22.73	22.18	350	21.53
8/27/2015	22.27	22.27	22.27	22.27	10	21.07
9/2/2015	22.22	22.22	22.22	22.22	20	21.02
9/3/2015	21.25	21.5	21.5	21.25	110	20.05
9/4/2015	21.25	21.25	21.25	21.25	680	20.05
9/7/2015	20.61	20.82	20.82	20.61	30	19.41
9/8/2015	20.61	20.61	20.61	20.61	180	19.41
9/10/2015	20.4	20.4	20.4	20.4	800	19.2
9/11/2015	20.4	20.4	20.4	20.4	330	19.2
9/14/2015	19.79	19.99	19.99	19.79	20	18.59
9/16/2015	19.79	19.79	19.79	19.79	30	18.59
9/21/2015	19.72	19.72	19.72	19.72	180	18.52
9/29/2015	19.72	19.64	19.72	19.64	50	18.52
10/2/2015	19.98	19.72	19.98	19.72	90	18.78
10/12/2015	19.54	19.19	19.54	19.08	120	18.34
10/13/2015	19.08	19.08	19.08	19.08	40	17.88
10/16/2015	19.54	19.54	19.54	19.54	10	18.34
10/21/2015	18.96	18.96	18.96	18.96	40	17.76
10/28/2015	19.38	19.38	19.38	19.38	0	18.18
10/30/2015	18.8	18.8	18.8	18.8	40	17.6
11/9/2015	18.4	19.3	19.3	18.4	30	17.2
11/10/2015	17.86	18.24	18.24	17.86	280	16.66
11/11/2015	17.32	17.32	17.32	17.32	1720	16.12
