Date,Open,High,Low,Close,Adj Close,Volume
12/8/2014,5.5,5.53,5.5,5.5,5.29,12610
12/9/2014,5.5,5.5,5.5,5.5,5.29,4660
12/10/2014,5.5,5.5,5.5,5.5,5.29,1820
12/11/2014,5.5,5.5,5.5,5.5,5.29,3840
12/12/2014,5.5,5.5,5.5,5.5,5.29,15740
12/15/2014,5.54,5.54,5.5,5.5,5.29,9640
12/16/2014,5.5,5.55,5.5,5.55,5.34,8620
12/17/2014,5.57,5.57,5.5,5.57,5.36,80
12/18/2014,5.56,5.58,5.56,5.56,5.35,2390
12/19/2014,5.57,5.57,5.56,5.56,5.35,920
12/22/2014,5.56,5.72,5.56,5.72,5.51,12660
12/23/2014,5.7,5.74,5.6,5.6,5.39,1480
12/24/2014,5.61,5.62,5.55,5.55,5.34,2780
12/25/2014,5.55,5.59,5.45,5.59,5.38,1570
12/26/2014,5.5,5.58,5.45,5.58,5.37,1080
12/29/2014,5.45,5.5,5.42,5.5,5.29,1720
12/30/2014,5.49,5.58,5.43,5.58,5.37,3680
12/31/2014,5.42,5.68,5.42,5.62,5.41,5430
1/2/2015,5.68,5.68,5.46,5.68,5.47,640
1/5/2015,5.65,5.69,5.65,5.69,5.48,1500
1/6/2015,5.52,5.52,5.52,5.52,5.31,610
1/7/2015,5.5,5.52,5.5,5.52,5.31,3630
1/8/2015,5.5,5.51,5.5,5.5,5.29,4100
1/9/2015,5.5,5.51,5.5,5.5,5.29,4780
1/12/2015,5.5,5.55,5.5,5.5,5.29,3170
1/13/2015,5.5,5.51,5.5,5.5,5.29,7370
1/15/2015,5.5,5.5,5.5,5.5,5.29,19930
1/16/2015,5.5,5.5,5.45,5.45,5.24,5380
1/19/2015,5.43,5.43,5.4,5.4,5.19,3820
1/20/2015,5.4,5.45,5.4,5.44,5.23,16790
1/21/2015,5.4,5.4,5.3,5.3,5.09,5670
1/22/2015,5.31,5.4,5.31,5.4,5.19,15380
1/23/2015,5.4,5.4,5.4,5.4,5.19,11240
1/26/2015,5.4,5.43,5.4,5.4,5.19,23320
1/27/2015,5.4,5.4,5.4,5.4,5.19,8010
1/28/2015,5.4,5.41,5.4,5.4,5.19,7780
1/29/2015,5.41,5.43,5.41,5.43,5.22,20320
1/30/2015,5.42,5.42,5.4,5.42,5.21,4450
2/2/2015,5.4,5.4,5.38,5.4,5.19,780
2/3/2015,5.4,5.4,5.36,5.4,5.19,31860
2/4/2015,5.4,5.49,5.39,5.49,5.28,39640
2/5/2015,5.4,5.49,5.27,5.4,5.19,8630
2/6/2015,5.4,5.49,5.4,5.49,5.28,2400
2/9/2015,5.4,5.55,5.4,5.4,5.19,3290
2/10/2015,5.41,5.48,5.41,5.48,5.27,170
2/11/2015,5.48,5.55,5.4,5.55,5.34,540
2/12/2015,5.5,5.55,5.4,5.4,5.19,23830
2/13/2015,5.4,5.4,5.4,5.4,5.19,1280
2/16/2015,5.4,5.56,5.4,5.56,5.35,500
2/18/2015,5.5,5.58,5.5,5.56,5.35,200
2/19/2015,5.56,5.56,5.4,5.41,5.2,25140
2/20/2015,5.41,5.45,5.4,5.4,5.19,231610
2/23/2015,5.45,5.45,5.4,5.45,5.24,4590
2/24/2015,5.4,5.45,5.4,5.4,5.19,3530
2/25/2015,5.4,5.45,5.4,5.45,5.24,5000
2/26/2015,5.4,5.5,5.4,5.5,5.29,1800
2/27/2015,5.5,5.5,5.4,5.4,5.19,6020
3/2/2015,5.4,5.46,5.4,5.45,5.24,107120
3/3/2015,5.45,5.45,5.4,5.4,5.19,112010
3/4/2015,5.4,5.4,5.4,5.4,5.19,2400
3/5/2015,5.4,5.56,5.4,5.55,5.34,6220
3/6/2015,5.5,5.5,5.4,5.5,5.29,30940
3/9/2015,5.5,5.55,5.5,5.54,5.33,55800
3/10/2015,5.53,5.53,5.5,5.5,5.29,14140
3/11/2015,5.49,5.49,5.45,5.49,5.28,1560
3/12/2015,5.49,5.5,5.49,5.5,5.29,2600
3/13/2015,5.5,5.53,5.5,5.5,5.29,4250
3/16/2015,5.5,5.54,5.5,5.5,5.29,3890
3/17/2015,5.45,5.54,5.45,5.5,5.29,57660
3/18/2015,5.54,5.54,5.5,5.5,5.29,23640
3/19/2015,5.5,5.53,5.5,5.5,5.29,1610
3/23/2015,5.5,5.54,5.5,5.54,5.33,3520
3/24/2015,5.5,5.53,5.5,5.5,5.29,17660
3/25/2015,5.5,5.54,5.5,5.5,5.29,14380
3/26/2015,5.5,5.5,5.5,5.5,5.29,20
3/27/2015,5.5,5.54,5.5,5.5,5.29,7650
3/31/2015,5.42,5.42,5.4,5.4,5.19,6540
4/1/2015,5.4,5.4,5.35,5.35,5.14,630
4/2/2015,5.35,5.35,5.35,5.35,5.14,850
4/6/2015,5.37,5.4,5.34,5.4,5.19,2510
4/7/2015,5.35,5.37,5.35,5.35,5.14,3970
4/8/2015,5.35,5.35,5.35,5.35,5.14,830
4/10/2015,5.35,5.35,5.25,5.34,5.13,1350
4/13/2015,5.34,5.35,5.25,5.34,5.13,6410
4/14/2015,5.34,5.34,5.26,5.26,5.05,3000
4/15/2015,5.26,5.34,5.25,5.34,5.13,2970
4/16/2015,5.3,5.34,5.3,5.34,5.13,14160
4/17/2015,5.25,5.34,5.25,5.34,5.13,0
4/20/2015,5.3,5.3,5.3,5.3,5.09,7100
4/21/2015,5.3,5.32,5.3,5.32,5.11,3700
4/22/2015,5.3,5.3,5.26,5.26,5.05,51910
4/23/2015,5.26,5.32,5.26,5.32,5.11,5300
4/24/2015,5.27,5.32,5.27,5.32,5.11,6990
4/27/2015,5.27,5.32,5.25,5.27,5.06,2560
4/28/2015,5.26,5.32,5.25,5.32,5.11,3760
4/29/2015,5.19,5.3,5.19,5.3,5.09,1210
4/30/2015,5.25,5.25,5.2,5.2,4.99,12990
5/4/2015,5.2,5.2,5.1,5.19,4.98,4590
5/5/2015,5.19,5.19,5.1,5.1,4.89,1610
5/6/2015,5.1,5.19,5.1,5.19,4.98,3690
5/7/2015,5.19,5.19,5.1,5.19,4.98,3550
5/8/2015,5.1,5.11,5.07,5.1,4.89,14020
5/11/2015,5.1,5.11,5.1,5.1,4.89,3440
5/12/2015,5.1,5.1,5.08,5.08,4.87,5980
5/13/2015,5.08,5.1,5.08,5.08,4.87,15090
5/14/2015,5.1,5.1,5.08,5.1,4.89,2150
5/15/2015,5.1,5.2,5.08,5.2,4.99,1610
5/18/2015,5.2,5.2,5.2,5.2,4.99,4250
5/19/2015,5.15,5.25,5.1,5.25,5.04,3670
5/20/2015,5.25,5.28,5.25,5.25,5.04,7700
5/21/2015,5.15,5.27,5.15,5.27,5.06,5080
5/22/2015,5.2,5.25,5.2,5.25,5.04,880
5/25/2015,5.25,5.4,5.15,5.34,5.13,3340
5/26/2015,5.3,5.34,5.2,5.2,4.99,9250
5/27/2015,5.2,5.21,5.2,5.21,5,14470
5/28/2015,5.2,5.34,5.2,5.34,5.13,16120
5/29/2015,5.48,5.5,5.48,5.48,5.27,250
6/2/2015,5.46,5.46,5.4,5.4,5.19,60
6/3/2015,5.16,5.39,5.16,5.19,4.98,930
6/4/2015,5.18,5.19,5.1,5.19,4.98,1200
6/5/2015,5.34,5.34,5.34,5.34,5.13,50
6/8/2015,5.4,5.45,5.4,5.4,5.19,5270
6/9/2015,5.35,5.35,5.35,5.35,5.14,1560
6/10/2015,5.2,5.43,5.2,5.43,5.22,18130
