Date,Open,High,Low,Close,Div,Adj Close,Volume
7/13/2015,7,7.3,7,7.3,0.23,7.07,1010
7/20/2015,7.29,7.3,7.2,7.2,0.23,6.97,1630
7/21/2015,7,7.2,7,7.2,0.23,6.97,1950
7/22/2015,7.1,7.25,7.1,7.25,0.23,7.02,750
7/23/2015,7.1,7.3,7.1,7.3,0.23,7.07,680
7/24/2015,7.1,7.24,7.1,7.11,0.23,6.88,2150
7/27/2015,7.3,7.3,7.05,7.3,0.23,7.07,240
7/28/2015,7.2,7.2,7.2,7.2,0.23,6.97,100
7/29/2015,7.05,7.3,7.05,7.2,0.23,6.97,740
7/30/2015,7.05,7.2,7.05,7.2,0.23,6.97,4030
7/31/2015,7.19,7.19,7.1,7.1,0.23,6.87,780
8/3/2015,7.1,7.1,7.1,7.1,0.23,6.87,1410
8/4/2015,7.1,7.1,7.1,7.1,0.23,6.87,230
8/5/2015,7.05,7.19,7,7.19,0.23,6.96,7350
8/6/2015,7.1,7.1,7.01,7.01,0.23,6.78,160
8/7/2015,6.9,7,6.9,7,0.23,6.77,870
8/10/2015,7,7.1,7,7.1,0.23,6.87,4400
8/11/2015,7.1,7.28,6.9,7.28,0.23,7.05,420
8/12/2015,7.2,7.2,7.2,7.2,0.23,6.97,80
8/17/2015,7.1,7.27,7.1,7.15,0.23,6.92,2790
8/18/2015,7.1,7.2,7.05,7.2,0.23,6.97,2900
8/19/2015,7.15,7.2,7.15,7.2,0.23,6.97,2200
8/20/2015,7,7.1,7,7.1,0.23,6.87,260
8/21/2015,7.09,7.19,7.09,7.19,0.23,6.96,3150
8/24/2015,7.14,7.18,7.14,7.18,0.23,6.95,3510
8/26/2015,7,7,6.98,6.98,0.23,6.75,200
8/27/2015,6.99,6.99,6.98,6.98,0.23,6.75,1500
8/28/2015,6.91,6.99,6.91,6.98,0.23,6.75,1960
9/1/2015,6.96,6.96,6.9,6.96,0.23,6.73,340
9/2/2015,6.9,6.98,6.76,6.96,0.23,6.73,9350
